K=35, k=8, Hardness=hard, accuracy=33.800000 
K=50, k=8, Hardness=hard, accuracy=43.600000 
K=75, k=8, Hardness=hard, accuracy=48.600000 
K=100, k=8, Hardness=hard, accuracy=54.400000 
K=150, k=8, Hardness=hard, accuracy=58.800000 
K=200, k=8, Hardness=hard, accuracy=60.400000 
K=300, k=8, Hardness=hard, accuracy=66.600000 
K=400, k=8, Hardness=hard, accuracy=68.600000 
K=500, k=8, Hardness=hard, accuracy=70.200000 
K=600, k=8, Hardness=hard, accuracy=71.400000 
K=800, k=8, Hardness=hard, accuracy=76.400000 
K=700, k=8, Hardness=hard, accuracy=77.800000 
K=784, k=8, Hardness=hard, accuracy=80.000000 
K=1000, k=8, Hardness=hard, accuracy=81.400000 
K=25, k=9, Hardness=easy, accuracy=32.200000 
K=35, k=9, Hardness=easy, accuracy=36.000000 
K=50, k=9, Hardness=easy, accuracy=53.200000 
K=75, k=9, Hardness=easy, accuracy=60.200000 
K=100, k=9, Hardness=easy, accuracy=61.600000 
K=200, k=9, Hardness=easy, accuracy=69.800000 
K=150, k=9, Hardness=easy, accuracy=71.200000 
K=300, k=9, Hardness=easy, accuracy=79.600000 
K=400, k=9, Hardness=easy, accuracy=81.600000 
K=500, k=9, Hardness=easy, accuracy=83.400000 
K=600, k=9, Hardness=easy, accuracy=86.400000 
K=800, k=9, Hardness=easy, accuracy=86.600000 
K=700, k=9, Hardness=easy, accuracy=86.800000 
K=784, k=9, Hardness=easy, accuracy=89.200000 
K=1000, k=9, Hardness=easy, accuracy=91.000000 
K=25, k=9, Hardness=hard, accuracy=21.800000 
K=35, k=9, Hardness=hard, accuracy=31.800000 
K=50, k=9, Hardness=hard, accuracy=43.400000 
K=75, k=9, Hardness=hard, accuracy=46.600000 
K=100, k=9, Hardness=hard, accuracy=51.400000 
K=200, k=9, Hardness=hard, accuracy=55.600000 
K=150, k=9, Hardness=hard, accuracy=59.400000 
K=400, k=9, Hardness=hard, accuracy=64.600000 
K=300, k=9, Hardness=hard, accuracy=65.000000 
K=500, k=9, Hardness=hard, accuracy=69.000000 
K=600, k=9, Hardness=hard, accuracy=71.200000 
K=784, k=9, Hardness=hard, accuracy=74.600000 
K=700, k=9, Hardness=hard, accuracy=75.600000 
K=800, k=9, Hardness=hard, accuracy=78.400000 
K=1000, k=9, Hardness=hard, accuracy=78.600000 
